'DOH000000000003663','05','0541','005411','054112020','03','2015','J06','6','8','18','29','9','9','3','5','1','2','2','2','2','3','2','1','1','2','1','4','0','3','0','2','0','2','0','2','0','1','0','0','0','1','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','N39','0','0','1','1','1','2','0','2','2','0','0','2','0','2','0','0','1','0','1','4','0','0','1','2','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','A15','0','0','1','0','0','0','0','0','2','0','0','1','1','0','1','3','1','0','0','0','0','0','0','0','2','2','4','1','1','0','0','0','1','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','T14','0','0','1','0','0','0','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','3','1','1','0','3','0','1','1','1','0','0','1','1','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','A09','0','0','5','2','1','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','J18','1','0','3','1','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','D64','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','T78','0','1','0','1','0','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','L23','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','R42','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','H60','0','0','0','1','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','L89','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','J45','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','T79','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','O23','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','L08','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003663','05','0541','005411','054112020','03','2015','G47','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
