'DOH000000000007366','03','0369','036909','036909024','2','2013','J06','9','6','32','31','17','13','8','6','0','1','0','5','1','2','0','5','0','2','2','1','0','2','0','3','0','1','1','1','3','1','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','A09','0','0','5','8','1','1','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','1','0','1','0','2','0','1','1','2','2','3','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','N39','0','0','1','0','2','1','0','1','0','2','0','1','0','1','0','1','0','2','1','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','T79','0','0','0','1','1','1','0','0','2','0','0','0','2','0','0','0','1','0','1','1','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','J18','1','1','4','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','L02','0','0','3','1','1','0','0','0','0','1','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','B34','1','0','2','4','1','0','1','2','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','J22','0','0','1','1','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','W54','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','2','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','B26','0','0','0','0','5','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','2','2013','H10','0','0','0','2','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
