'DOH000000000007366','03','0369','036909','036909024','04','2015','J06','10','3','20','21','12','9','5','1','1','1','0','1','2','1','1','5','2','1','0','3','1','1','1','0','0','2','0','0','1','2','0','0','1','2','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','I10','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','0','1','0','1','1','4','0','1','1','2','2','6','5','7','2','2','3','5','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','A09','0','0','8','1','0','0','1','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','T79','0','0','4','1','0','0','0','0','2','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','T14','0','0','2','0','1','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','1','1','0','0','1','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','R10','0','0','6','0','4','0','0','0','0','4','0','0','0','0','0','0','2','0','0','0','0','0','0','2','0','2','0','1','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','L02','0','0','1','2','2','1','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','K30','0','0','1','0','0','0','0','0','0','1','0','0','0','1','1','1','0','0','0','1','0','0','0','0','0','2','0','1','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','T78','0','0','1','3','0','0','0','0','0','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','J18','1','0','3','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007366','03','0369','036909','036909024','04','2015','B01','0','0','0','1','2','0','0','0','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
