'DOH000000000007229','03','0369','036909','036909020','12','2012','J06','15','12','93','69','19','38','12','9','3','5','1','2','0','12','0','4','1','1','1','5','0','4','1','2','1','5','0','1','1','6','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','A09','0','1','17','10','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','T14','0','1','1','0','2','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','N39','0','0','4','0','2','0','2','0','0','0','0','2','1','2','1','2','0','0','0','1','0','0','0','0','0','0','0','1','0','1','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','2','2','2','2','0','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','J45','0','0','5','4','2','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','1','0','1','0','1','0','0','1','1','1','1','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','R52','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','1','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','L02','0','0','2','2','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','1','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','R10','2','1','1','2','1','1','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','L23','0','0','3','0','0','1','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','J18','0','0','3','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','L30','0','2','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','B37','0','0','1','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','T79','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','H10','0','0','1','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','12','2012','J10','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
