'DOH000000000007229','03','0369','036909','036909020','8','2013','J06','18','13','105','120','63','53','21','18','2','12','4','7','2','9','3','6','4','6','1','9','3','2','0','12','1','12','0','12','4','14','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','3','0','4','2','4','0','1','2','3','3','8','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','J45','1','0','8','1','2','2','1','3','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','1','0','0','1','0','1','3','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','R42','0','0','0','0','1','0','0','0','0','0','0','0','1','2','0','3','0','1','0','1','1','2','0','0','0','4','1','0','0','3','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','N39','0','0','0','2','0','1','0','0','0','1','0','0','2','3','1','1','0','1','0','0','0','1','0','0','0','0','0','0','2','3','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','A90','0','0','5','2','3','3','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','L23','0','1','6','3','3','1','1','0','0','0','0','0','0','1','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','2','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','H65','0','1','2','1','4','0','0','3','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','L02','1','0','3','0','0','0','0','0','0','0','0','1','0','0','0','1','1','1','0','3','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','T79','0','0','2','0','2','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','T78','0','0','2','2','1','1','1','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','R10','0','2','0','0','4','2','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','2','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','H81','1','0','0','0','0','0','0','0','0','1','0','1','3','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','M13','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','1','1','1','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','A06','0','0','2','1','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','L30','0','1','0','0','0','0','1','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','K21','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','A15','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','2','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','J18','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','1','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','J10','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','J01','0','0','0','0','0','0','1','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','B37','1','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','H10','0','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','H00','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','036909020','8','2013','L01','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
