'DOH000000000007917','08','0860','086012','086012002','02','2016','J06','7','1','14','17','10','5','6','2','1','1','0','2','0','2','0','2','1','2','1','2','0','2','0','0','0','1','0','0','5','1','2','0','3','1','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','J18','6','3','14','8','17','6','4','2','0','4','0','0','0','0','0','4','0','1','0','4','0','2','0','3','1','0','0','0','4','0','0','0','4','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','I10','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','4','2','1','1','1','1','4','7','0','6','4','1','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','N39','0','0','1','0','0','1','1','1','0','3','0','2','0','0','0','1','0','0','0','2','0','1','0','0','0','2','0','0','0','1','0','0','0','1','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','A15','1','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','1','0','0','1','1','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','J30','1','0','0','1','0','2','0','1','0','0','0','1','0','0','0','1','0','0','0','1','1','0','0','0','0','1','0','0','2','1','1','1','1','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','A09','0','0','2','1','3','0','0','1','1','0','0','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','B34','1','1','1','0','2','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','J45','0','0','0','0','0','1','1','2','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','J22','1','0','2','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','T79','1','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','K30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','K29','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','B82','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','R10','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','Y'
'DOH000000000007917','08','0860','086012','086012002','02','2016','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','0','0','0','0','Y'
