'DOH000000000007322','09','0983','098309','098309012','04','2014','J06','8','9','34','26','16','19','8','4','0','1','2','5','1','2','2','4','0','9','0','4','1','6','0','4','1','0','0','4','2','1','0','0','2','1','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','I10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','3','1','3','3','5','4','15','5','17','1','15','5','12','12','14','5','6','7','8','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','A09','0','1','11','11','0','2','0','1','0','0','0','0','1','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','L08','0','1','4','4','4','2','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','J18','3','2','1','4','0','1','0','1','0','0','0','0','0','1','0','0','1','0','0','1','0','0','0','0','1','0','0','0','2','1','0','1','2','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','K29','0','0','2','0','2','0','3','1','0','0','0','0','0','3','0','1','0','1','0','2','1','1','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','T78','0','1','3','3','2','0','2','1','0','0','0','1','0','0','1','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','N39','0','0','1','1','1','0','0','0','0','1','0','0','0','0','0','1','0','2','0','2','0','1','0','2','0','0','0','0','1','2','0','1','1','1','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','T79','0','0','2','1','2','1','3','1','0','0','0','0','0','1','1','0','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','K30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','H65','0','0','1','2','0','0','2','0','1','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','3','0','0','1','0','1','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','H10','1','0','0','0','2','0','2','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','M79','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','2','0','1','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','A06','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','J45','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','O82','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','W54','0','0','0','0','0','1','0','0','1','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','I20','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','B01','0','0','0','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007322','09','0983','098309','098309012','04','2014','B35','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
