'DOH000000000003798','17','1753','175315','145315014','09','2015','J06','2','2','11','7','12','17','0','6','0','1','0','3','1','1','1','7','0','1','1','1','0','4','0','0','1','1','1','2','1','5','1','1','0','4','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','A15','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','1','1','0','1','1','0','2','0','3','0','3','1','3','0','0','1','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','N39','0','0','0','0','1','1','0','0','3','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','3','0','1','0','2','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','T78','1','0','2','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','1','0','0','2','0','2','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','T14','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','L23','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','J45','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','2','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','A09','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','M79','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','J18','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','B54','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','T79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','L89','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','J40','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','N75','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','H52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','K40','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','B34','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','09','2015','T88','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
