'DOH000000000003463','03','0308','030802','030802006','06','2012','J06','17','8','78','93','43','30','5','10','2','2','1','12','1','8','4','9','2','7','4','7','0','4','1','8','1','6','0','4','4','12','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','I10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','6','2','8','1','5','1','11','8','8','4','8','15','43','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','J45','0','0','8','8','9','6','1','4','0','0','0','1','0','0','1','1','3','2','0','1','0','0','1','1','1','3','0','3','2','7','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','A09','2','3','18','6','5','3','1','0','0','1','0','2','0','1','0','2','0','0','0','5','0','2','0','1','0','1','0','3','1','3','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','T78','2','1','3','8','3','5','2','1','0','2','2','3','0','1','1','0','0','0','0','1','0','1','3','2','0','0','1','1','4','2','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','N39','0','0','1','1','1','0','0','2','0','2','2','3','0','2','0','0','2','3','1','1','3','3','2','3','0','0','0','1','1','6','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','D64','0','0','0','1','2','0','0','0','0','1','1','4','1','1','0','4','0','3','0','0','0','2','2','1','0','1','0','0','0','3','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','1','2','1','2','11','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','K29','0','0','0','0','1','3','1','0','0','0','0','3','0','1','0','2','0','0','0','1','0','0','0','0','0','0','1','1','1','2','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','R42','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','2','0','0','1','1','0','0','0','1','0','1','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','2','0','1','0','2','1','0','0','3','0','3','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','A15','0','0','1','0','0','0','0','0','1','0','0','0','0','1','3','1','1','0','1','0','0','0','0','0','2','0','0','0','0','2','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','H60','0','0','2','2','0','1','2','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','H10','1','0','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','1','0','0','1','1','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','W54','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','3','0','0','0','0','1','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','B26','0','0','1','1','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','R10','0','0','5','2','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','H00','0','0','1','1','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','E05','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','1','1','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','B37','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','L50','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','N94','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','L08','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','A18','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','J18','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','T14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','L30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','E04','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','B15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','L04','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','J10','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','M49','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','N93','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','I95','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','R04','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','G51','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','06','2012','M71','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
