'DOH000000000003463','03','0308','030802','030802006','07','2011','J06','22','18','195','134','74','81','20','20','4','17','10','23','3','18','8','36','2','31','0','17','5','17','6','12','4','21','8','16','9','28','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','6','2','6','0','15','1','7','5','10','3','12','6','10','12','37','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','J45','0','1','20','18','13','11','1','2','0','1','0','0','1','1','0','4','0','3','0','3','2','6','0','1','2','0','1','2','3','8','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','A09','0','0','18','17','9','6','3','2','1','2','0','3','0','4','0','0','1','3','0','4','0','0','0','0','0','0','0','2','0','4','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','N39','0','0','1','0','3','1','2','1','0','6','0','5','1','4','1','2','1','4','0','1','0','2','0','2','1','1','0','0','0','7','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','M13','0','0','0','0','0','0','0','0','0','0','0','0','1','3','0','5','1','2','2','1','0','3','0','1','1','2','0','3','0','11','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','A15','0','0','1','0','0','0','0','0','1','1','0','1','2','0','3','0','0','0','4','1','2','0','4','1','3','0','0','1','2','3','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','T78','0','0','3','2','1','1','0','0','0','1','0','1','0','1','0','2','0','2','0','4','1','1','0','1','0','4','3','0','1','1','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','K29','0','0','0','3','7','5','2','4','0','0','0','1','0','0','0','0','0','1','0','0','0','3','0','0','0','1','0','1','0','2','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','D64','0','0','0','0','0','1','1','0','0','1','1','2','1','1','1','7','0','2','0','1','0','0','0','2','0','0','0','3','0','2','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','0','2','1','3','1','4','2','4','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','T14','0','0','0','2','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','M94','0','0','0','0','0','0','1','1','0','0','0','1','0','2','0','1','0','1','0','1','0','1','0','0','0','0','0','1','0','2','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','W54','0','0','1','1','2','0','1','1','1','0','0','0','1','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','H10','0','0','0','2','0','1','0','1','0','0','0','2','0','0','0','0','0','0','1','2','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','H60','0','0','1','1','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','B37','0','0','1','1','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','T79','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','M79','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','2','1','0','0','0','0','0','2','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','E05','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','3','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','N61','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','H00','0','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','R10','0','0','2','2','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','O03','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','B35','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','A64','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0308','030802','030802006','07','2011','B26','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
