'DOH000000000003463','03','0369','036910','036910024','08','2014','J06','22','10','113','108','50','52','14','6','1','6','2','13','4','14','2','10','0','10','0','4','2','6','5','7','2','19','5','10','11','22','3','10','8','12','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','4','3','2','7','1','12','5','18','7','8','13','33','6','12','7','21','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','J45','0','0','6','7','4','8','2','0','0','2','0','0','0','0','0','1','0','1','0','0','1','1','1','3','0','1','0','1','2','8','0','3','2','5','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','A09','0','0','9','7','2','2','3','1','0','1','1','1','0','0','0','1','0','2','0','1','0','1','0','1','0','1','0','2','0','1','0','1','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','T78','0','0','2','4','3','4','0','1','1','2','1','0','0','0','0','2','0','0','1','0','1','0','0','3','1','2','0','0','2','4','1','1','1','3','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','N39','0','0','0','0','1','0','2','1','0','3','1','1','0','2','0','3','1','0','0','0','0','0','0','0','0','1','0','0','2','2','0','1','2','1','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','R42','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','5','0','1','1','1','0','0','0','1','0','1','0','2','1','1','0','1','1','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','2','1','0','1','0','2','3','1','0','1','3','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','K29','0','0','1','0','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','R10','0','0','1','4','6','0','3','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','1','0','1','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','W54','0','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','2','1','2','0','0','1','2','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','B37','0','0','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','H65','0','0','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','H10','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','W55','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','T79','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','B26','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','H60','0','0','2','0','0','2','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','K12','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','W53','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','T14','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','08','2014','A54','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
