'DOH000000000000049','03','0369','036911','036911014','11','2014','I10','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','4','2','6','6','14','5','19','7','19','13','25','7','16','31','100','14','38','17','62','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','J40','13','8','39','45','20','19','5','6','5','2','0','6','2','1','0','2','0','4','1','7','2','5','2','2','1','5','1','2','2','20','1','8','1','12','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','J06','3','3','7','5','11','12','5','5','5','2','2','5','0','4','3','4','0','8','1','8','1','0','1','3','1','4','2','0','2','12','1','3','1','9','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','J22','9','2','29','22','8','17','2','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','A09','0','1','10','8','3','3','2','1','1','1','2','0','0','0','0','2','0','1','0','0','0','2','0','0','0','1','0','0','0','4','0','2','0','2','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','J45','4','0','18','13','7','4','4','4','0','0','0','2','0','2','0','4','0','3','0','0','0','2','0','4','0','3','0','0','1','2','1','2','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','N39','0','0','2','1','0','1','1','0','0','0','0','4','0','1','1','1','0','2','1','2','0','3','0','1','0','0','0','0','1','4','0','0','1','4','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','G43','0','0','0','1','0','0','0','1','0','0','0','3','1','2','0','0','0','3','0','1','0','1','1','4','0','2','0','2','1','4','0','2','1','2','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','L08','0','0','0','5','2','5','1','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','2','1','0','1','2','0','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','L02','0','0','2','1','2','1','2','0','1','1','0','0','0','0','1','0','1','2','0','0','3','0','0','0','0','0','1','0','1','0','1','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','L01','0','2','1','9','2','3','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','J43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','1','14','2','9','0','5','2','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','R10','0','0','0','3','5','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','2','0','3','0','1','0','2','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','T79','0','0','0','0','0','3','2','2','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','2','1','1','0','2','1','1','0','1','1','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','4','2','2','5','4','4','0','6','0','0','0','6','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','K30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','1','0','1','0','0','1','0','0','8','0','5','0','3','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','B34','0','0','2','3','2','2','0','0','0','0','0','0','0','2','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','T14','0','0','1','0','2','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','3','2','1','1','1','0','2','0','1','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','11','2014','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','1','2','4','1','1','1','3','Y'
