'DOH000000000000049','03','0369','036911','036911014','09','2014','J40','10','7','58','58','39','37','21','19','4','6','2','5','0','3','1','5','2','8','2','4','1','6','0','4','2','8','1','5','3','16','1','7','2','9','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','I10','0','0','0','0','0','0','0','0','0','1','3','1','0','0','2','5','0','10','7','11','2','16','9','20','9','23','13','18','30','102','10','32','20','70','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','J06','0','1','23','17','28','33','14','11','7','8','2','7','2','5','4','10','2','8','4','8','2','8','2','4','2','3','4','9','9','18','3','7','6','11','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','J22','6','6','40','32','26','29','7','5','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','J45','0','0','64','67','43','40','8','6','5','0','0','2','0','1','0','0','2','1','0','4','3','8','0','6','0','4','0','2','4','15','2','2','2','13','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','B34','1','0','13','5','6','6','3','6','2','1','1','1','2','0','0','2','1','0','0','0','1','0','0','2','0','0','0','0','2','6','1','2','1','4','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','N39','0','0','3','0','6','4','3','2','2','3','0','3','0','3','0','2','0','1','0','3','0','5','0','2','0','3','0','1','2','6','2','3','0','3','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','A09','0','0','14','7','7','4','2','0','1','1','0','1','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','1','0','2','0','0','0','2','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','L02','1','1','1','3','2','1','2','2','0','1','0','1','0','0','1','1','0','2','0','1','0','0','1','0','1','0','1','0','0','3','0','2','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','G43','0','0','0','0','0','0','3','1','0','0','0','2','0','1','0','0','0','1','1','4','1','3','0','2','0','5','1','2','0','5','0','3','0','2','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','L01','0','0','6','7','7','4','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','K30','0','0','0','0','0','0','1','0','1','1','0','0','3','1','1','0','0','3','0','2','0','0','0','0','0','4','1','1','1','5','0','3','1','2','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','J43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','2','0','4','1','15','1','6','0','9','1','Y'
'DOH000000000000049','03','0369','036911','036911014','09','2014','R10','0','0','0','1','3','4','2','1','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','0','0','3','1','0','0','1','0','1','0','0','Y'
