'DOH000000000005207','14','1411','141102','141102082','05','2017','J06','3','5','11','12','7','6','7','4','0','1','0','3','1','2','2','2','0','3','0','2','0','3','0','1','0','0','2','5','3','3','0','1','3','2','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','1','0','1','0','8','1','6','3','4','7','8','7','11','3','5','4','6','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','2','1','1','2','2','2','5','1','0','1','5','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','J18','0','0','1','2','2','4','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','0','0','0','0','0','4','2','2','0','2','2','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','A15','0','0','0','0','0','1','0','0','0','0','2','0','0','0','1','0','0','0','0','0','2','0','1','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','A09','0','0','2','3','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','2','1','0','1','0','0','0','1','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','L01','1','0','0','2','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','L30','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','O23','0','0','0','0','0','0','0','0','0','1','0','3','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','T79','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','B34','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','K04','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','L08','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','J22','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','L73','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','B01','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','J45','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','B09','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','K21','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','N76','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','R52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','J01','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','J30','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','H11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','H61','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005207','14','1411','141102','141102082','05','2017','H65','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
