'DOH000000000002109','03','0369','036910','036910005','5','2013','J06','6','0','22','21','9','12','7','5','3','1','2','2','1','3','1','5','1','7','0','5','1','6','2','2','2','2','1','4','1','7','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','1','0','4','0','3','6','6','2','3','11','18','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','J45','0','0','7','8','3','0','3','1','1','0','0','0','0','0','0','2','0','0','0','2','0','0','0','0','1','0','1','1','1','4','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','T79','0','0','3','5','3','2','1','1','0','1','0','2','2','0','2','0','0','1','2','2','1','0','0','0','0','1','0','0','1','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','D64','0','0','0','1','0','0','0','0','2','1','0','1','0','1','0','2','0','1','0','0','0','3','0','3','0','0','0','1','0','4','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','N39','0','0','0','0','1','1','1','1','1','0','0','0','0','3','0','2','1','1','1','0','0','0','0','1','1','0','0','2','0','2','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','J18','6','0','10','12','0','0','0','0','2','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','2','2','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','K30','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','4','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','A09','2','0','3','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','L23','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','2','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','A15','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','1','0','1','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','B82','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','2','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','2','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','K04','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','B26','0','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','S06','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','T78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','B34','1','0','2','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','5','2013','B01','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
