'DOH000000000002109','03','0369','036910','036910005','07','2013','J06','7','8','82','62','30','27','5','7','5','2','3','2','3','7','5','3','2','5','2','2','1','8','0','2','1','4','3','3','4','5','3','1','1','4','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','4','0','4','0','9','4','10','10','10','1','4','8','21','4','7','4','14','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','J45','0','1','10','4','5','3','2','3','1','1','0','0','0','1','0','1','0','1','1','0','0','1','0','0','0','0','1','0','1','6','0','3','1','3','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','D64','0','0','1','1','0','0','2','0','0','1','0','2','0','1','0','1','0','3','0','1','0','3','1','2','2','1','0','1','2','0','0','0','2','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','R10','0','0','0','2','2','1','0','0','1','2','2','1','0','3','0','0','1','3','0','1','1','0','1','0','0','0','0','0','1','3','0','0','1','3','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','L08','0','1','5','2','2','5','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','A09','1','0','2','4','0','1','2','0','1','0','0','0','0','0','1','1','0','0','1','1','0','1','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','T79','0','0','1','1','1','2','0','0','0','0','1','0','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','1','1','1','0','1','1','0','1','1','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','T78','0','0','2','2','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','1','1','3','0','0','1','3','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','N39','0','0','1','0','1','0','0','0','0','1','0','0','0','3','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','W54','0','0','2','0','1','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','L89','0','0','1','1','0','0','0','0','0','0','0','1','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','2','0','2','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','J43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','4','0','0','0','4','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','K29','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','1','0','2','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','B26','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','B37','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','R60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','T14','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','S06','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','07','2013','R13','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
