'DOH000000000002109','03','0369','036910','036910005','10','2014','I10','1','0','0','0','0','0','0','0','0','0','0','0','0','0','3','1','1','4','2','1','4','6','2','9','3','14','8','9','10','23','3','7','7','16','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','R52','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','0','1','1','2','3','0','2','3','1','5','7','1','2','4','5','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','A09','0','0','10','4','4','3','1','2','1','0','0','1','1','0','1','1','0','0','0','1','0','1','0','2','0','0','0','2','1','1','1','0','0','1','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','J45','0','0','9','6','4','3','2','0','0','4','0','0','0','5','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','T78','0','0','4','3','2','0','0','0','1','1','0','0','0','0','0','1','0','0','0','1','0','1','0','1','1','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','B34','0','0','4','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0','0','1','0','0','0','1','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','L08','0','0','10','3','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','D64','0','0','1','0','0','0','1','0','0','1','0','2','0','0','0','1','0','1','0','0','0','2','0','0','0','0','0','0','1','1','1','0','0','1','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','T79','0','0','0','2','0','3','0','1','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','N39','0','0','1','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','1','0','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','3','0','3','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','H52','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','2','0','1','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','R10','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','1','0','0','1','0','0','0','2','0','1','0','1','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','H60','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','K12','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','1','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','H65','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','K05','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','W55','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','R60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000002109','03','0369','036910','036910005','10','2014','H05','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
