'DOH000000000003463','03','0369','036910','036910024','6','2013','J06','13','9','106','81','32','50','3','12','2','3','2','4','1','6','1','10','0','5','0','4','0','8','0','3','0','8','4','4','2','9','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','3','1','3','2','6','1','5','1','6','7','18','3','10','8','24','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','J45','0','0','13','11','8','10','0','3','1','0','0','3','0','0','0','2','0','1','0','1','0','0','1','1','1','0','1','1','5','5','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','A09','1','0','10','9','3','0','0','2','1','2','0','2','0','0','2','1','0','2','1','1','0','1','0','0','0','0','0','0','0','1','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','1','1','3','2','0','1','3','18','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','N39','0','0','0','0','0','0','1','1','0','3','2','3','0','1','0','6','0','1','1','1','0','0','0','2','0','2','0','1','0','4','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','T78','0','1','3','1','1','3','0','1','0','0','1','0','0','2','0','0','0','1','0','0','0','0','0','0','0','1','1','0','4','2','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','R42','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','2','1','0','1','1','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','D64','0','0','0','0','0','1','0','1','0','0','0','2','0','0','1','1','1','1','0','1','0','0','0','0','0','0','0','1','0','1','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','T14','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','1','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','W54','0','0','0','1','1','1','0','0','0','0','0','0','0','1','0','2','0','0','0','1','1','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','2','1','2','0','0','0','3','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','K29','0','0','2','1','0','1','1','0','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','1','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','L50','0','1','0','1','0','0','1','1','0','0','1','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0','0','0','1','0','1','0','0','1','1','1','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','A15','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','1','1','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','R10','0','0','3','3','0','6','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','H60','0','0','1','1','5','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','T79','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','H65','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','W53','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','S06','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','H10','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','Z41','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','W55','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','L30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','O03','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','O80','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','N76','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','E05','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','G20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','H00','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','H05','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','G51','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000003463','03','0369','036910','036910024','6','2013','E03','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
