'DOH000000000003780','05','0562','056213','056213033','11','2015','A15','3','0','1','0','1','0','2','0','4','0','7','6','2','2','2','3','7','0','0','0','1','2','2','0','2','5','0','2','10','5','3','0','7','5','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','J18','5','3','9','10','1','2','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','I10','1','3','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','1','6','1','2','1','2','5','7','1','3','4','4','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','N39','0','0','0','0','1','0','1','0','1','5','0','1','1','1','0','3','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','D64','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','2','0','1','0','1','0','1','0','1','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','J45','0','0','1','4','1','2','0','1','0','0','0','1','0','1','0','0','0','2','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','R10','2','0','0','4','3','0','2','2','0','0','4','0','0','0','3','0','0','1','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','B34','0','0','1','1','1','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','B86','0','1','2','0','1','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','T79','0','0','2','0','1','0','0','1','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','11','2015','T14','0','0','3','0','0','0','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
