'DOH000000000002900','14','1411','141102','141102087','01','2015','J06','35','23','83','84','39','39','11','21','2','2','1','9','2','12','2','9','2','9','2','13','0','4','1','5','3','6','0','1','6','13','1','3','5','10','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','I10','0','8','0','0','0','0','0','0','0','1','0','2','0','1','2','6','4','9','1','18','8','18','5','14','4','21','14','24','29','66','15','25','14','41','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','J18','35','11','62','71','10','5','6','0','0','0','0','4','0','0','0','2','0','0','0','2','0','2','4','0','4','2','0','3','3','15','2','3','1','12','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','N39','1','2','2','3','1','2','0','2','1','5','0','8','0','7','0','10','0','6','0','1','0','1','0','0','0','1','1','0','1','3','1','1','0','2','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','A09','1','2','6','9','1','4','0','1','3','3','0','1','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','L23','3','4','10','8','1','5','0','3','0','0','0','0','0','2','1','0','0','0','0','2','0','0','0','2','0','0','0','2','1','1','1','1','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','B34','1','0','4','8','3','1','1','1','0','0','0','0','0','2','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','N76','0','0','0','0','0','0','0','0','0','1','0','2','0','12','0','4','0','3','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','J22','3','1','2','1','0','2','1','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','1','1','0','0','0','2','0','0','0','2','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','A15','0','0','0','0','1','0','0','0','0','0','0','0','0','3','0','0','3','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','J45','0','0','0','1','3','3','2','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','1','0','1','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','2','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','J30','1','0','4','4','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','L03','0','0','0','3','1','3','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','B01','1','0','2','1','3','3','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','H10','0','0','1','3','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','A90','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','K12','0','0','2','0','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','T79','0','0','2','0','1','2','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','L08','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','2','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','H65','1','0','0','1','0','1','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','B26','0','0','1','1','3','0','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','H00','0','0','1','2','0','1','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','K29','0','0','0','0','0','0','0','1','0','0','1','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','K30','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','1','0','0','1','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','M10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','1','1','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','J40','0','0','1','0','0','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','0','0','0','0','1','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','J01','0','0','0','0','1','0','1','0','0','0','0','1','0','0','0','0','2','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','L30','2','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','L73','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','A54','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','B09','0','0','0','2','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','1','1','1','0','0','1','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','B86','0','0','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','L50','0','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','N73','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','N61','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','N95','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','K59','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','I25','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','O23','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','B05','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','L01','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','N94','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','B02','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','H61','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002900','14','1411','141102','141102087','01','2015','D64','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
