'DOH000000000000049','03','0369','036911','036911014','02','2013','J06','3','10','55','35','32','37','13','12','7','9','4','8','1','8','2','5','1','9','1','9','3','8','2','10','6','4','5','11','7','26','3','13','4','13','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','J22','16','7','42','44','36','31','6','4','2','1','0','0','0','0','0','2','1','1','0','0','0','2','3','0','1','2','0','1','3','9','0','2','3','7','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','I10','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','1','0','0','1','1','10','2','7','5','11','5','14','19','49','10','17','9','32','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','A09','1','2','18','24','1','7','1','0','0','1','1','0','1','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','1','3','0','2','1','1','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','N39','0','0','0','5','3','3','1','1','0','5','0','5','0','4','0','0','0','1','1','4','0','1','0','0','1','1','0','0','0','3','0','1','0','2','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','L01','1','0','10','10','1','2','3','3','0','0','0','0','0','1','0','0','0','1','3','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','K29','0','0','3','1','4','1','1','1','1','0','0','2','0','2','0','0','0','1','0','1','0','0','2','0','0','1','0','1','7','3','2','1','5','2','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','5','1','0','3','1','1','5','14','2','4','3','10','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','J45','2','0','18','12','6','7','6','1','0','3','0','0','1','2','0','1','0','1','0','1','0','0','2','0','0','0','0','1','12','2','2','0','10','2','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','3','0','2','1','4','0','1','5','4','3','1','2','3','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','L02','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','T14','0','0','2','0','1','1','1','0','1','0','0','0','0','0','0','0','0','1','0','0','2','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','3','1','1','0','0','0','0','0','3','2','0','0','3','2','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','W54','0','0','0','2','0','0','1','0','1','0','0','0','0','0','1','0','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','J30','0','1','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','1','0','0','0','0','0','0','0','3','0','0','0','3','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','B26','0','0','0','0','3','2','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','G43','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','1','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','M94','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','2','0','1','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','J40','0','0','1','3','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','K04','0','0','0','0','2','1','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','J18','4','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','B37','0','0','2','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','0','0','0','1','2','0','1','1','1','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','K21','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','1','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','L03','0','0','0','0','1','1','0','0','1','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','B01','0','0','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','L30','1','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','T79','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','J42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','2','0','0','0','2','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','B34','0','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','B09','0','0','1','2','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','B35','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','O23','0','0','0','0','0','0','0','0','0','1','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','02','2013','L73','1','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
