'DOH000000000000049','03','0369','036911','036911014','6','2013','J06','7','6','67','66','33','47','14','16','4','5','0','9','4','12','4','11','2','11','2','10','0','8','1','5','1','8','3','8','8','14','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','I10','0','1','0','0','0','0','0','0','0','0','0','1','0','0','5','0','2','2','2','7','3','11','5','9','5','9','5','19','20','82','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','J22','6','4','29','26','12','13','2','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','A09','1','0','16','21','8','6','2','3','2','0','1','1','0','0','1','1','0','0','0','5','0','0','1','0','0','1','0','0','1','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','N39','0','1','2','3','3','2','1','1','0','0','0','5','0','2','0','3','0','5','0','0','1','3','1','2','2','1','0','6','2','10','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L01','0','0','10','17','6','3','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','J45','2','0','34','5','16','16','6','2','2','0','0','0','0','0','0','3','0','0','0','3','0','0','1','0','0','2','3','1','3','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L08','1','0','5','4','7','3','0','0','0','1','0','1','0','0','0','0','0','0','1','2','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','G43','0','0','0','0','0','2','1','0','0','0','1','1','1','1','1','1','0','1','1','1','0','3','0','1','0','1','0','1','1','3','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','T79','0','0','3','0','0','2','1','0','1','1','1','0','1','0','1','0','0','1','2','1','1','0','1','0','0','0','0','0','1','3','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','H81','0','0','0','0','0','0','0','0','0','0','0','2','1','0','0','0','0','2','0','0','0','3','0','2','0','1','0','0','3','7','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','K30','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','1','0','1','2','1','0','0','0','1','0','2','2','4','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','T14','0','0','0','0','2','0','1','1','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','2','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','A15','0','0','1','1','1','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','1','0','0','0','2','0','1','0','2','2','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','K29','0','0','0','1','1','0','2','0','0','1','0','0','0','0','0','0','0','1','0','0','1','1','0','1','1','0','0','0','0','5','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','J30','0','0','1','1','2','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','0','1','0','0','0','0','0','0','4','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','3','0','9','0','4','2','4','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','0','0','3','5','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','H10','0','0','1','0','3','2','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','R10','0','2','2','0','2','2','2','0','0','0','0','0','0','0','0','0','0','0','0','2','2','1','0','0','0','0','0','0','0','4','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','3','0','2','0','0','1','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L23','0','1','2','4','0','0','0','2','0','0','0','1','0','0','0','0','0','0','0','4','0','0','0','0','1','0','0','0','0','2','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L03','0','0','0','0','0','0','2','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','W54','0','0','2','1','0','1','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','J43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','3','2','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','1','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','S06','0','0','0','0','0','1','1','0','2','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','H65','0','0','2','1','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','K05','0','0','2','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L73','0','0','0','2','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','J42','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','W55','0','0','1','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','4','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','B34','0','0','0','1','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','O23','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','2','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','K12','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L04','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','A06','0','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L30','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','M10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','B37','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','J40','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','K40','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','B26','0','0','3','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','B35','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','K04','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','B02','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','M94','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','B01','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L50','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','G51','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','I50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','T88','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','J18','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','B16','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','W53','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','B06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','N94','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','H61','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','H60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','B09','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','F84','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','D25','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L21','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','I20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','D17','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','G40','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','N43','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','K37','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','L84','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','H05','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','K74','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','P38','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','C50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000049','03','0369','036911','036911014','6','2013','N40','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
