'DOH000000000017474','14','1411','141102','141102069','05','2017','I10','1','1','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','4','1','1','2','5','6','11','5','14','6','9','17','25','11','10','6','15','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','J06','2','0','8','10','10','7','1','2','0','0','0','0','0','2','1','1','0','2','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','J18','2','0','7','4','2','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','E10','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','2','0','4','0','2','1','1','1','1','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','A09','0','1','2','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','N39','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','J22','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','L23','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','T79','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','J45','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','B34','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','L73','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','N48','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','L02','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','D64','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','R25','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','J40','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','O23','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','S39','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','M54','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000017474','14','1411','141102','141102069','05','2017','T88','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
