'DOH000000000007204','03','0369','036912','036912006','08','2015','J06','7','6','46','46','26','37','14','12','2','4','1','4','0','3','1','4','0','6','2','8','1','3','1','10','1','6','0','4','3','8','0','2','3','6','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','I10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','4','3','5','1','9','2','9','4','9','1','5','6','13','5','8','1','5','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','L08','1','0','20','15','7','15','2','1','0','0','0','3','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','B34','0','0','4','6','6','5','9','1','2','1','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','A09','0','0','9','2','0','3','3','1','2','1','1','0','0','0','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','H81','0','0','0','0','0','0','0','0','1','3','0','1','0','4','0','0','0','1','0','1','2','0','0','0','0','5','0','0','1','5','1','2','0','3','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','2','2','0','2','7','0','0','2','7','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','T79','0','0','1','0','1','0','1','1','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','T78','0','0','0','1','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','1','1','1','1','1','1','0','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','1','0','1','0','0','0','1','0','3','0','0','0','3','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','N39','0','0','0','1','0','0','1','0','2','0','0','0','0','2','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','H10','0','0','0','0','0','0','1','0','0','0','1','0','0','1','0','1','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','K29','0','0','1','1','1','0','0','0','0','1','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','H65','0','0','0','0','0','1','1','1','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','L02','0','0','3','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','R10','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','I20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','A90','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','J45','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','H00','0','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007204','03','0369','036912','036912006','08','2015','K21','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
