'DOH000000000004485','04','0456','045638','045638001','05','2017','N39','0','0','4','2','4','9','4','1','1','6','0','7','0','5','3','2','2','16','2','4','0','4','3','6','1','3','0','1','3','4','2','1','1','3','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','4','2','2','1','8','2','8','3','3','2','8','12','26','7','10','5','16','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','A15','0','0','0','1','3','0','1','1','1','1','0','4','2','3','3','3','3','4','6','4','3','3','5','7','2','3','4','2','6','3','3','3','3','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','J45','0','1','9','12','1','6','3','1','0','3','1','0','0','1','0','0','0','1','1','0','0','0','0','1','0','0','0','2','1','1','0','0','1','1','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','A09','1','1','13','11','4','2','0','0','0','0','1','0','0','0','0','0','0','3','1','0','1','1','0','1','0','0','0','0','1','1','0','1','1','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','R42','0','0','0','0','0','0','1','1','0','3','0','3','1','1','0','3','1','3','0','4','0','1','0','4','0','1','1','3','0','7','0','1','0','6','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','T78','0','0','3','1','1','1','2','1','1','1','0','2','0','2','0','1','0','0','0','1','0','5','0','3','2','1','2','1','1','4','0','1','1','3','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','T79','0','3','6','5','3','3','3','3','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','1','0','0','1','0','1','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','R10','1','6','7','6','0','0','2','1','1','1','0','0','0','0','0','1','0','0','1','1','0','1','0','0','0','0','0','0','4','5','0','2','4','3','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','H60','0','0','1','3','3','2','1','0','0','2','1','1','0','0','1','2','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','L02','1','0','3','2','0','2','0','1','0','0','0','0','0','0','0','1','0','0','0','0','1','1','0','0','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','B82','0','0','3','4','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','M13','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','0','0','2','1','1','1','0','1','1','1','0','8','0','4','0','4','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','L89','0','0','2','3','0','0','0','0','0','1','0','0','0','0','1','0','0','1','0','1','0','1','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','J18','2','0','0','4','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','D64','0','0','0','0','1','0','0','1','0','0','0','1','0','1','0','1','0','1','0','1','0','2','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','B86','0','0','3','2','0','1','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','B01','0','0','0','0','0','1','1','2','0','0','0','0','1','0','1','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','2','1','2','0','1','1','1','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','H65','0','0','1','2','1','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','W55','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','2','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','L08','0','0','1','2','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','L30','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','L74','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','B26','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','J10','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','H00','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','R60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004485','04','0456','045638','045638001','05','2017','A49','0','0','1','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
