'DOH000000000000099','03','0369','036913','036913015','11','2014','J06','18','4','49','35','31','25','9','7','1','4','2','4','1','5','0','5','1','3','0','6','4','5','0','0','0','1','3','8','7','15','1','8','6','7','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','I10','0','0','0','0','0','0','0','0','0','0','1','1','0','4','0','2','1','2','2','6','5','9','4','5','3','6','3','11','11','34','2','11','9','23','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','N39','0','0','2','0','3','1','0','0','0','4','0','5','0','3','0','3','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','T14','0','0','2','0','1','0','1','0','0','0','0','0','1','0','0','1','0','0','1','0','0','0','0','1','1','0','2','0','0','1','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','T78','2','0','3','3','0','2','0','0','0','0','0','1','1','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','1','1','0','0','1','1','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','A09','0','0','5','3','2','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','1','1','3','0','4','0','2','0','2','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','1','0','1','1','6','0','2','1','4','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','K30','0','0','0','0','0','0','0','0','0','0','1','0','0','1','2','2','0','0','0','0','0','0','0','1','0','1','0','1','0','2','0','2','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','A06','1','0','1','3','1','1','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','11','2014','D64','0','0','1','0','0','0','0','0','0','1','0','2','0','1','0','0','0','0','0','2','0','0','0','0','0','1','0','1','0','0','0','0','0','0','Y'
