'DOH000000000003444','03','0369','036918','036918013','09','2015','J06','14','12','75','61','45','35','13','10','4','4','6','3','1','7','1','5','3','7','4','5','1','3','2','3','1','1','3','2','5','11','1','3','4','8','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','N39','1','0','2','2','3','3','3','3','1','6','3','2','2','2','2','0','0','0','1','0','0','1','2','3','1','1','0','1','2','0','0','0','2','0','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','A09','0','0','4','0','1','0','0','0','0','1','0','0','0','0','1','0','0','0','0','1','2','0','0','0','0','0','0','0','5','1','1','0','4','1','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','T14','0','0','1','0','2','0','1','0','2','0','2','0','0','0','0','0','2','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','I10','0','0','0','0','0','0','0','0','0','0','2','1','0','0','0','0','1','1','0','2','3','3','0','1','1','3','0','0','1','1','1','1','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','T78','0','0','4','0','0','2','0','1','0','1','1','1','0','0','0','0','0','0','1','0','0','2','0','0','0','0','0','0','2','1','1','0','1','1','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','J45','0','0','2','2','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','H10','0','0','1','0','0','0','0','0','0','1','2','1','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','K05','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','0','0','2','0','1','1','1','0','0','1','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','A90','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','K29','0','0','1','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','O23','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','09','2015','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','2','0','1','0','1','0','Y'
