'DOH000000000000099','03','0369','036913','036913015','04','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','3','1','3','1','10','2','9','3','9','3','22','13','42','6','12','7','30','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','J06','4','4','17','21','10','9','2','1','2','4','2','4','3','4','1','1','1','1','0','0','0','2','1','1','2','1','1','4','2','9','0','2','2','7','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','1','1','1','6','1','8','3','10','2','2','1','8','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','1','1','0','3','0','11','0','5','0','6','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','N39','0','0','0','0','0','1','0','1','2','0','0','2','0','1','0','0','0','3','0','1','0','0','0','1','0','3','0','0','0','1','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','T78','0','0','4','3','0','0','1','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','2','1','1','0','1','1','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','T14','0','0','1','2','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','K30','0','0','1','0','1','0','1','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','I20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','1','1','0','0','0','0','0','1','0','0','0','3','0','1','0','2','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','A06','0','0','0','3','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','L73','0','0','1','2','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','J18','1','0','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','R10','0','0','1','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','04','2016','H81','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','2','0','2','0','0','0','2','Y'
