'DOH000000000000099','03','0369','036913','036913015','09','2015','J06','5','7','57','44','35','35','12','4','4','4','4','4','2','6','4','12','3','1','1','0','0','4','3','4','2','4','2','2','3','9','2','1','1','8','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','I10','0','0','0','0','0','0','0','0','0','0','2','0','1','0','0','1','0','2','1','3','3','3','5','6','4','5','2','9','10','28','7','7','3','21','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','T78','1','0','5','1','2','1','2','2','0','1','0','1','0','0','0','0','2','3','0','0','0','2','2','0','0','0','0','0','1','2','0','1','1','1','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','N39','0','0','0','0','0','0','0','1','0','4','0','3','0','7','0','3','0','2','0','4','0','1','0','0','0','0','0','0','2','0','2','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','H10','0','0','1','1','1','2','1','3','4','1','1','0','0','0','0','0','0','3','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','4','1','0','0','0','1','4','0','2','0','0','0','2','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','1','2','3','1','3','0','0','1','3','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','K30','0','0','0','0','1','0','0','0','0','3','0','0','0','1','0','1','0','2','0','0','0','0','0','0','0','0','0','1','1','1','0','0','1','1','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','A15','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','1','0','0','2','2','1','2','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','B01','0','0','5','2','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','L73','0','0','5','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','R10','0','0','1','0','1','3','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','J18','2','0','1','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','A09','0','0','1','1','2','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','A06','0','0','1','1','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','T14','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','09','2015','L02','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','Y'
