'DOH000000000000099','03','0369','036913','036913015','2','2013','I10','0','0','0','0','0','0','0','0','0','0','1','0','2','1','0','4','1','4','5','6','3','1','3','7','7','8','7','15','11','22','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','A09','0','0','3','8','2','1','2','1','0','0','0','0','0','0','0','0','1','0','0','1','0','1','0','0','0','1','0','1','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','K30','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','1','1','2','0','3','0','1','0','1','2','3','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','R10','0','0','1','0','4','3','2','1','0','0','0','0','0','1','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','T78','0','0','0','2','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0','0','0','0','3','0','3','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','A01','0','0','1','0','2','1','1','5','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','N39','0','0','0','0','1','2','0','1','0','0','0','3','0','3','0','0','0','1','0','1','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','0','3','1','2','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','1','1','3','2','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','L73','0','1','3','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','D64','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','2','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','H10','0','0','1','1','1','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','4','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','L02','0','0','2','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','H81','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','1','0','1','0','1','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','H00','0','0','1','0','1','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','W54','0','0','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','I20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','T79','0','0','0','0','0','0','1','0','0','0','0','0','0','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','B37','1','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','2','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','L30','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','K05','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','H65','0','0','1','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','B35','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','Y'
'DOH000000000000099','03','0369','036913','036913015','2','2013','W55','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
