'DOH000000000003387','05','0517','051732','000000000','12','2014','J06','13','9','48','52','21','23','12','11','2','1','2','4','0','4','1','3','2','4','0','2','0','6','0','5','1','3','1','5','1','12','1','7','0','5','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','I10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','2','4','5','5','1','3','2','3','4','6','9','20','3','7','6','13','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','A09','0','0','11','9','2','3','0','0','1','0','0','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','A15','0','0','0','0','0','2','2','0','2','2','0','0','0','0','0','0','1','2','2','0','0','1','1','0','1','2','0','1','5','3','3','0','2','3','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','N39','0','0','1','1','2','2','0','0','0','1','1','1','0','2','0','3','0','0','0','2','0','2','0','0','0','0','0','2','2','3','1','3','1','0','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','T79','0','0','6','5','2','1','0','3','1','2','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','T14','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','J45','0','0','9','11','5','5','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','2','1','0','1','2','0','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','J10','0','0','0','0','0','0','1','1','0','2','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','3','0','1','1','2','1','0','0','2','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','T78','0','0','1','2','1','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','K30','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','2','1','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','L23','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','H81','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','1','0','2','Y'
'DOH000000000003387','05','0517','051732','000000000','12','2014','B82','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
