'DOH000000000002087','17','1759','175913','175913011','12','2015','J06','7','4','34','40','27','15','7','13','4','9','1','7','2','9','1','7','2','5','3','4','4','5','2','5','1','0','3','3','9','14','3','9','6','5','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','2','3','3','2','2','1','6','14','22','5','7','9','15','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','J18','3','5','17','12','1','2','0','0','1','0','1','0','0','0','2','0','0','0','0','2','0','0','0','0','0','0','1','0','4','1','2','0','2','1','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','N39','0','0','1','0','2','2','1','1','1','0','0','2','0','3','0','3','0','2','0','1','2','2','1','3','0','1','1','4','2','9','2','4','0','5','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','1','0','3','1','0','1','1','1','2','0','1','1','1','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','K29','0','0','0','0','0','0','0','1','0','2','0','0','1','2','0','0','0','0','0','2','0','1','1','1','0','0','1','1','4','3','2','0','2','3','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','T14','0','0','2','0','2','1','0','0','2','0','0','0','0','1','1','0','0','2','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','L30','0','2','1','4','3','2','1','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','1','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','A09','0','0','7','4','1','0','0','2','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','H65','0','0','4','1','2','0','1','0','0','0','0','1','0','0','0','0','0','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','T79','0','0','1','1','0','2','0','0','0','0','0','1','0','0','0','0','1','0','0','1','0','0','0','0','0','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','J22','0','0','2','0','1','2','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','175913011','12','2015','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','3','1','2','0','0','0','0','0','0','Y'
