'DOH000000000003387','05','0517','051732','051732005','03','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','1','1','5','2','3','2','1','3','3','4','2','10','18','1','5','9','13','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','N39','0','0','0','0','5','0','1','1','0','3','1','4','0','1','0','2','0','4','1','1','0','0','1','4','1','2','0','0','1','4','1','0','0','4','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','A09','0','0','13','6','1','0','0','2','1','0','1','0','1','0','0','0','1','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','A15','0','0','0','2','0','0','0','1','3','0','3','1','2','0','4','1','1','0','2','0','0','0','1','1','1','3','0','0','2','1','0','0','2','1','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','J45','0','0','15','5','4','4','0','2','0','0','0','2','0','2','0','0','0','0','0','0','0','2','0','0','0','0','0','0','4','2','0','2','4','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','T79','0','0','4','3','2','0','1','0','0','0','0','0','1','0','0','1','0','0','0','1','0','0','0','0','0','1','1','0','2','0','1','0','1','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','B86','1','0','3','1','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','J10','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','2','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','T78','0','0','0','2','0','2','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','L01','3','0','1','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','B01','0','0','0','1','0','0','2','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','B37','0','1','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','H81','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','K12','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','L30','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','03','2016','L02','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
