'DOH000000000003387','05','0517','051732','051732005','08','2015','J06','10','4','55','43','20','29','5','6','4','4','4','5','0','5','0','3','0','1','1','3','1','5','1','4','0','2','3','3','2','4','1','1','1','3','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','1','0','1','3','4','2','7','2','5','4','6','13','25','4','7','9','18','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','N39','0','0','1','1','0','2','2','1','1','6','0','2','1','5','0','2','1','4','0','4','0','1','0','4','0','0','1','1','0','5','0','3','0','2','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','A15','0','0','0','3','0','0','0','1','1','0','0','0','1','2','1','6','0','0','1','2','1','2','2','2','1','0','4','0','6','3','3','1','3','2','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','H10','0','0','3','2','3','1','0','3','0','0','2','1','1','1','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','3','0','2','0','1','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','B86','1','1','9','5','2','2','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','J45','0','0','9','18','2','11','3','0','1','0','0','0','1','1','0','0','0','0','0','0','0','0','2','0','0','0','1','0','0','2','0','0','0','2','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','A09','1','0','6','2','3','0','1','0','0','0','0','1','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','T79','0','0','4','5','1','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','1','1','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','T78','0','0','2','1','0','0','0','2','1','3','0','1','0','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','3','0','1','0','2','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','A90','1','0','1','0','2','1','0','1','0','3','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','J10','0','0','0','0','0','0','1','0','0','2','0','0','2','0','0','1','1','1','0','0','0','0','0','2','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','K30','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','0','0','0','2','0','0','0','0','1','1','0','2','0','0','0','2','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','B37','1','1','0','7','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','L02','1','0','2','3','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','L01','0','0','5','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','B01','0','0','2','3','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','R10','0','0','3','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','J22','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','L03','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','L04','0','0','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','2','2','1','0','1','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','H81','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','H00','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000003387','05','0517','051732','051732005','08','2015','I50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','Y'
