'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','J06','11','8','36','34','14','17','8','2','3','2','0','3','2','1','0','6','1','3','0','4','1','2','0','4','0','2','1','4','2','7','0','1','2','6','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','L30','2','2','5','10','4','2','4','2','2','2','1','2','2','0','0','0','0','0','0','1','0','0','1','0','0','1','0','0','1','2','0','1','1','1','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','N39','1','0','0','3','0','1','0','1','3','1','0','2','0','1','0','2','3','0','0','4','0','2','0','1','0','3','1','1','1','3','0','1','1','2','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','L03','1','0','9','2','2','1','0','0','0','0','0','1','2','2','1','0','0','1','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','A09','0','0','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','0','1','0','2','1','2','2','1','2','6','1','4','1','2','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','L01','0','0','0','4','2','5','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','T14','0','0','0','0','0','0','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','H10','1','0','1','3','2','0','1','0','0','0','1','0','1','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','K29','0','0','0','0','0','2','0','1','0','1','1','0','0','1','0','1','0','0','0','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000006139','010000000','015500000','015534000','015534003','05','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','2','1','0','0','0','0','0','1','3','1','1','0','2','Y'
