'DOH000000000003444','03','0369','036918','036918013','03','2013','J06','6','5','32','25','7','9','2','3','0','5','1','3','0','1','1','0','0','2','1','3','0','1','2','0','1','0','0','0','4','3','0','1','4','2','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','N39','0','0','1','5','0','1','2','0','1','5','0','3','1','0','1','1','0','0','0','0','0','0','2','0','0','1','0','0','1','0','0','0','1','0','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','A15','0','0','0','0','0','0','1','0','1','0','0','0','0','0','2','0','0','0','0','1','0','0','1','0','0','3','1','0','5','0','3','0','2','0','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','J22','0','1','6','3','1','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','I10','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','1','0','0','1','1','3','0','0','0','1','2','2','0','1','2','1','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','A09','0','1','3','3','1','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','K29','0','0','1','1','0','0','0','0','0','1','0','0','0','2','0','2','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','T78','0','0','0','2','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','B37','0','0','1','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','J18','0','0','3','0','2','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','B26','0','0','0','0','4','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003444','03','0369','036918','036918013','03','2013','J45','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
