'DOH000000000001739','01','0155','015535','015535008','04','2017','J06','10','9','41','47','21','15','10','6','0','5','5','4','3','7','2','4','1','6','3','5','2','3','4','2','0','5','1','3','13','18','1','3','12','15','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','I10','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','1','0','1','2','0','5','4','3','5','5','13','20','3','5','10','15','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','A09','1','0','17','13','2','3','1','0','1','0','1','1','1','1','1','1','0','1','0','4','2','0','0','0','0','0','1','0','1','3','0','0','1','3','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','N39','0','0','1','3','3','5','2','1','0','1','2','5','0','2','2','0','0','2','0','0','0','5','0','3','2','1','2','2','1','7','1','2','0','5','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','T14','0','0','0','1','2','2','2','0','0','1','1','0','0','0','1','1','0','2','1','0','1','0','0','0','0','0','0','1','4','0','1','0','3','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','J22','1','2','8','5','0','2','0','3','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','3','0','2','0','1','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','L02','0','0','2','1','0','1','0','1','1','0','1','0','0','1','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','3','0','1','0','2','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','K29','0','0','0','0','0','0','0','3','0','0','1','0','0','1','0','0','0','1','0','3','0','2','0','0','1','1','0','2','2','1','1','0','1','1','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','T78','1','0','0','2','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','H81','0','0','0','0','0','0','0','0','0','0','1','2','0','0','1','0','0','1','1','1','0','0','1','1','0','0','0','0','2','6','1','1','1','5','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','W54','0','0','0','2','4','2','0','2','0','2','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','R10','0','2','1','1','3','0','0','1','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','A15','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','0','3','1','0','1','3','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','L23','1','2','4','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','J45','0','0','2','2','2','2','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','2','0','15','3','6','0','9','3','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','3','1','0','0','1','3','0','1','1','2','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','3','0','0','2','3','0','1','2','2','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','H10','1','1','1','0','2','0','2','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','1','1','1','0','0','1','2','0','0','1','2','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','H61','0','0','1','3','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','H65','0','0','2','0','1','2','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','T79','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','T20','0','0','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','B01','0','0','1','1','0','0','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','L03','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','L73','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','J40','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','4','0','3','1','1','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','A49','0','0','3','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','J18','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','1','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','W55','0','0','0','0','1','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','B37','1','0','0','2','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','K30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','0','1','2','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','D64','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','M43','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','H60','0','0','1','0','2','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','G43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','L30','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','L72','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','I00','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','0','0','1','Y'
'DOH000000000001739','01','0155','015535','015535008','04','2017','A06','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','Y'
