'DOH000000000004369','09','0973','097324','097324019','10','2015','J06','6','7','32','18','8','6','4','1','0','1','0','2','0','4','1','2','0','5','0','2','2','0','1','4','0','4','1','1','1','3','1','1','0','2','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','J18','4','1','10','12','1','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','B34','2','0','0','2','4','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','1','0','1','0','0','3','2','2','0','1','2','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','L03','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','2','0','1','2','1','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','T79','0','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','H81','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','1','2','0','1','1','1','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','A09','0','0','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','L23','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','T78','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','K29','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004369','09','0973','097324','097324019','10','2015','F41','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
