'DOH000000000004369','09','0973','097324','097324019','03','2016','J06','25','10','46','48','24','18','5','3','1','1','3','3','1','1','0','2','0','5','0','2','1','2','0','3','1','2','1','2','4','3','1','1','3','2','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','3','0','1','2','5','0','4','2','1','0','2','4','7','3','4','1','3','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','J18','2','6','21','23','0','4','2','2','0','0','2','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','B34','0','2','11','7','3','3','2','2','0','0','0','1','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','A09','0','1','7','6','2','0','0','0','0','0','0','2','0','2','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','L01','0','0','6','2','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','J45','0','0','2','1','2','1','3','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','L03','0','0','1','3','3','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','E10','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','0','0','0','0','2','0','2','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','A15','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','3','0','0','0','0','0','0','0','Y'
'DOH000000000004369','09','0973','097324','097324019','03','2016','L23','0','0','0','6','0','2','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','1','0','1','Y'
