'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','J06','18','26','88','79','50','46','17','18','9','11','10','12','11','14','9','13','4','15','7','19','3','12','2','6','1','14','3','18','7','22','4','8','3','14','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','I10','1','4','0','0','1','0','0','0','1','0','0','1','1','1','8','4','5','7','13','13','14','36','18','27','31','43','24','51','62','120','17','39','45','81','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','2','2','4','5','2','9','10','10','11','13','16','36','3','14','13','22','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','T14','1','0','3','0','3','2','6','1','2','3','2','0','2','0','0','1','0','2','1','0','3','0','1','0','1','0','1','0','3','1','3','0','0','1','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','A09','0','0','21','16','10','4','1','2','0','1','0','2','1','3','0','0','1','1','1','1','2','0','1','2','1','0','0','0','1','1','1','0','0','1','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','L02','1','0','3','1','3','0','1','1','1','0','0','0','0','0','0','0','2','0','1','0','0','1','0','2','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','T79','0','2','2','1','3','3','3','1','5','0','0','3','1','0','1','2','2','0','2','1','1','2','0','1','2','1','1','0','0','4','0','3','0','1','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','J45','2','3','7','4','4','0','1','3','0','0','0','0','0','0','0','3','1','1','0','2','0','0','0','0','0','3','0','1','1','2','0','0','1','2','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','D64','0','3','0','0','0','2','0','1','0','2','2','2','0','3','0','3','0','1','0','5','0','2','0','4','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','T78','1','0','7','4','2','4','0','0','0','0','0','1','0','2','0','0','0','1','0','1','0','0','0','0','0','0','0','1','0','2','0','1','0','1','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','L08','4','0','5','4','4','2','2','0','1','0','0','1','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','K30','0','0','0','0','0','1','0','1','1','1','2','0','0','1','2','2','1','2','0','1','0','0','0','4','1','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','H81','0','0','0','0','0','0','0','1','0','1','0','0','0','2','0','1','1','3','0','0','0','4','1','2','1','1','1','0','0','6','0','1','0','5','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','B34','2','0','6','2','2','1','2','1','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','2','0','2','0','1','1','4','0','0','3','3','2','0','1','3','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','J18','4','7','11','12','2','0','0','0','1','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','1','1','2','1','2','0','0','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','H10','0','0','4','1','0','1','0','1','1','1','0','2','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','M15','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','0','0','1','0','5','0','2','0','3','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','A15','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','1','1','0','0','0','0','0','1','0','1','2','1','2','0','0','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','B82','0','0','2','0','2','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004065','010000000','015500000','015538000','015538022','05','2017','G43','0','0','0','0','0','0','0','0','0','2','0','0','0','3','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
