'DOH000000000032219','01','0129','012924','012924033','01','2017','J06','20','15','130','91','80','68','24','38','19','20','9','22','8','20','12','19','14','25','9','17','14','13','3','14','4','13','6','21','16','36','5','18','11','18','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','J22','21','12','78','87','43','42','17','19','9','12','4','12','3','9','3','11','3','14','5','4','7','6','2','14','2','11','5','14','7','19','1','7','6','12','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','I10','1','0','0','0','0','0','0','0','0','0','0','0','1','1','2','1','2','8','4','6','3','5','4','12','7','11','3','10','17','30','4','9','13','21','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','J45','4','3','27','18','18','9','8','8','2','5','1','5','0','2','0','2','0','5','0','3','0','1','0','1','5','4','1','4','7','11','6','6','1','5','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','T79','0','1','9','11','20','17','3','5','4','2','2','2','0','3','1','2','1','1','3','1','0','2','0','0','2','2','2','0','4','2','2','0','2','2','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','A09','1','1','22','20','8','15','10','2','1','1','0','1','1','0','0','3','0','2','0','0','0','3','0','0','2','1','0','1','1','1','0','0','1','1','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','B34','1','3','14','8','7','15','7','6','4','2','1','2','0','1','0','2','1','0','0','1','1','2','0','1','1','1','0','0','0','3','0','0','0','3','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','N39','0','0','1','2','4','7','3','2','2','6','1','2','1','3','2','2','0','5','0','2','1','7','0','3','0','1','2','0','0','4','0','0','0','4','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','K30','0','1','0','0','4','2','5','0','1','0','0','1','3','2','1','2','0','1','0','0','2','2','0','1','2','0','1','2','4','6','2','3','2','3','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','M13','0','1','0','0','0','0','0','0','0','0','0','1','0','3','1','0','2','2','0','6','2','1','1','1','2','4','1','2','3','5','2','2','1','3','Y'
'DOH000000000032219','01','0129','012924','012924033','01','2017','K29','0','0','1','0','3','7','0','5','1','4','0','0','1','2','1','2','0','1','0','0','1','2','1','1','0','0','0','3','1','0','1','0','0','0','Y'
