'DOH000000000032219','01','0129','012924','012924033','06','2017','J22','5','3','43','32','26','19','14','5','5','5','1','7','0','4','1','6','1','8','0','3','1','3','1','7','4','2','2','4','8','8','5','4','3','4','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','J06','2','1','27','22','15','9','3','7','4','5','3','9','1','2','2','5','1','2','1','4','1','4','0','3','1','0','1','1','2','5','1','4','1','1','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','2','1','5','2','1','0','5','2','7','1','2','7','15','4','3','3','12','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','B34','0','0','7','5','13','8','4','0','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','A09','0','0','10','5','4','2','4','2','0','0','0','1','1','1','1','0','1','1','2','2','2','0','0','0','1','1','1','0','0','0','0','0','0','0','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','N39','0','0','2','1','4','2','1','1','0','5','0','3','0','2','0','3','2','0','1','2','0','3','0','1','2','1','2','0','0','2','0','0','0','2','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','T14','0','0','2','2','0','4','2','0','3','0','0','0','0','0','0','1','1','0','4','0','0','0','2','1','0','4','1','0','1','1','0','0','1','1','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','T79','0','0','1','2','2','3','3','0','0','0','1','1','1','0','2','1','1','0','1','1','0','1','1','1','1','3','1','1','0','1','0','0','0','1','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','1','0','0','5','0','1','1','1','2','2','0','7','0','1','0','6','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','K29','0','0','2','1','1','1','1','0','2','1','1','2','0','1','0','0','0','0','1','0','0','0','0','3','0','0','0','0','2','1','1','1','1','0','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','M13','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','1','1','0','2','1','0','0','2','0','1','2','0','3','1','2','1','2','0','0','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','L23','1','0','1','6','2','0','0','0','1','0','0','0','0','1','0','0','0','0','1','0','0','1','0','2','0','0','0','0','0','3','0','0','0','3','Y'
'DOH000000000032219','01','0129','012924','012924033','06','2017','M79','0','0','3','1','2','0','1','0','0','0','0','0','1','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','1','1','1','0','0','1','Y'
