'DOH000000000001733','01','0129','012922','012922023','05','2017','J06','7','8','34','28','18','20','3','0','0','0','0','2','0','0','0','3','0','1','0','0','0','2','3','1','0','0','1','0','2','2','2','0','0','2','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','N39','0','0','3','6','6','3','0','1','1','0','0','1','1','1','0','1','1','1','1','0','0','0','0','0','1','1','1','4','0','6','0','4','0','2','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','3','0','1','1','0','1','2','1','8','0','3','3','2','1','0','2','2','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','J22','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','2','0','0','3','0','1','0','0','0','0','4','7','0','1','4','6','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','L03','0','0','3','0','3','2','0','1','1','0','2','0','0','1','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','2','0','2','0','0','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','L23','1','0','1','0','2','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','1','1','0','0','0','0','0','1','3','0','1','1','2','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','3','1','0','0','0','0','0','1','2','0','0','0','2','0','1','0','1','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','1','0','1','5','0','0','1','5','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','L01','0','0','3','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','K29','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','B34','0','0','4','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','2','1','0','0','2','1','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','A09','0','0','1','0','1','1','0','0','0','0','0','0','1','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','2','2','1','1','1','1','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','T79','0','0','0','0','0','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','A49','0','0','1','1','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','B35','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','T14','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','J40','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','1','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','H60','0','0','0','0','1','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001733','01','0129','012922','012922023','05','2017','A15','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','Y'
