'DOH000000000003054','14','1411','141102','141102105','06','2017','J06','0','0','15','4','9','10','2','7','0','3','1','1','1','2','0','4','0','4','0','1','0','1','0','1','0','0','0','0','1','8','1','3','0','5','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','I10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','1','0','1','1','1','1','2','0','1','1','5','5','3','1','2','4','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','N39','0','0','0','0','3','1','0','0','0','0','0','0','0','0','0','1','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','1','3','0','1','1','2','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','J45','0','0','1','1','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','J18','0','0','1','5','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','B34','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','A15','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','1','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','J30','0','0','1','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','A09','0','0','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','H10','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','M10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','T79','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','B08','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','T14','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','N76','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','H65','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003054','14','1411','141102','141102105','06','2017','I25','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
