'DOH000000000004919','09','0972','097214','097214024','11','2015','J06','0','4','59','37','19','11','4','7','1','1','1','5','2','2','0','8','2','4','0','0','1','3','0','1','2','2','0','1','4','3','0','2','4','1','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','2','3','1','3','1','6','3','6','3','3','7','17','3','9','4','8','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','T14','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','1','0','0','1','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','J45','0','0','4','4','1','0','1','1','2','0','0','0','0','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','N39','0','0','1','1','0','0','1','0','0','1','0','1','0','0','1','0','0','1','0','3','0','0','0','1','0','1','0','2','0','2','0','1','0','1','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','2','1','0','2','2','1','0','1','2','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','D64','0','0','1','0','1','0','0','1','0','1','0','1','0','1','0','3','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','B86','0','0','2','2','1','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','I50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','2','1','2','1','0','0','2','1','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','K30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','3','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','A09','0','0','2','2','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','K04','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','1','2','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','M15','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','J18','0','0','0','0','0','0','0','0','0','0','0','0','5','0','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','E10','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','J42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','1','0','0','2','1','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','H26','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','3','0','1','1','2','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','B05','0','0','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','1','2','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','L08','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','B82','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004919','09','0972','097214','097214024','11','2015','J10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
