'DOH000000000002069','01','0129','012928','012928033','05','2016','J06','5','8','46','66','24','15','12','13','8','5','4','6','2','11','5','6','3','9','4','3','1','3','5','5','1','5','0','11','1','6','0','2','1','4','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','3','0','3','1','8','9','6','9','9','17','12','21','12','29','11','27','27','68','11','22','16','46','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','K30','0','0','0','0','0','3','1','1','0','2','1','3','0','3','2','2','0','2','4','1','0','6','1','2','3','3','1','3','4','8','1','2','3','6','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','6','4','3','2','1','7','1','9','2','17','2','8','0','9','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','N39','0','0','5','6','3','6','1','0','0','3','1','1','0','0','0','6','1','1','1','2','0','2','0','1','0','1','0','0','3','5','0','1','3','4','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','2','4','0','4','1','3','3','3','4','4','4','11','2','16','1','6','1','10','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','A09','0','0','7','8','4','1','1','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','4','0','1','0','0','0','1','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','T14','0','0','1','1','2','0','0','1','0','0','2','1','2','0','0','0','0','0','1','0','0','0','0','0','3','2','1','1','2','0','1','0','1','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','O23','0','0','0','0','0','0','0','0','0','3','0','9','0','12','0','6','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','J30','2','3','2','5','2','0','2','1','2','1','0','0','0','0','0','1','0','1','0','0','0','0','1','0','0','1','0','1','0','3','0','0','0','3','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','4','2','0','5','5','11','0','2','5','9','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','K21','0','0','0','0','0','0','0','0','1','0','0','0','1','3','0','0','1','0','0','1','0','1','2','2','2','3','0','1','2','6','1','0','1','6','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','J18','2','0','2','5','6','0','1','0','0','0','0','1','1','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','2','3','0','0','2','3','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','T79','0','0','1','1','1','0','3','1','1','1','1','1','0','0','0','1','1','0','1','0','0','1','0','1','0','1','0','0','3','3','2','1','1','2','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','L73','0','0','8','5','0','0','2','1','0','1','0','0','0','0','0','3','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','R73','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','3','1','3','0','1','1','0','1','4','2','5','1','3','1','2','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','W54','0','0','4','1','0','0','1','1','0','1','0','0','0','1','2','0','1','1','1','0','0','0','0','2','0','1','0','0','0','3','0','2','0','1','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','5','0','1','0','6','0','5','0','2','0','2','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','B34','0','1','3','5','4','0','2','0','2','0','0','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','3','0','3','1','0','1','0','1','0','3','0','1','0','2','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','K29','0','0','1','1','0','1','1','1','0','5','0','0','0','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','O99','0','0','0','0','0','0','0','0','0','1','0','7','0','2','0','3','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','L01','1','0','2','4','0','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','L23','0','0','1','1','1','1','0','0','0','2','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','2','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','J40','0','0','1','0','2','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','2','0','1','1','1','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','0','0','2','0','4','0','2','0','2','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','R10','1','0','0','3','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','B35','0','0','0','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','T20','0','0','1','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','I20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','L50','0','0','1','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','B82','0','0','2','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','L30','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','0','1','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','1','0','0','0','1','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','B02','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','1','1','0','0','1','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','1','0','1','1','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','S06','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','H00','0','0','0','0','1','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','I25','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','3','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','D55','3','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','K12','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','K05','0','0','0','1','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','B36','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','J45','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','K04','0','0','1','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','N61','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','L04','0','0','0','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','B01','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','H10','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','W55','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','H65','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','H60','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','H52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','B09','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','D25','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','L72','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','L24','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','D64','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','L03','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','M10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','N94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','M41','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','E04','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','F41','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','T02','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','F84','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002069','01','0129','012928','012928033','05','2016','E05','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','2','0','0','Y'
