'DOH000000000006750','01','0155','015542','015542014','04','2017','J06','12','8','34','39','14','16','7','8','3','1','2','3','1','2','0','3','0','5','0','3','3','3','0','2','0','3','1','3','6','8','2','3','4','5','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','3','1','0','0','1','2','3','4','3','2','3','2','5','5','11','13','5','6','6','7','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','N39','0','0','0','2','0','1','1','0','0','2','0','2','0','0','0','1','4','0','0','1','0','1','0','1','2','1','1','1','2','2','1','0','1','2','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','A09','1','1','6','2','4','1','1','0','0','0','0','2','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','T79','0','0','2','0','0','0','0','2','0','1','0','0','0','0','2','0','0','0','0','0','0','0','1','0','3','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','A15','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','0','1','0','2','0','0','0','1','0','0','0','0','2','3','1','2','1','1','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','8','0','1','0','7','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','B34','0','0','4','4','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','4','0','2','0','2','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','5','0','1','1','4','Y'
'DOH000000000006750','01','0155','015542','015542014','04','2017','H81','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','0','0','0','1','0','0','0','0','0','1','1','0','0','1','2','0','2','1','0','Y'
