'DOH000000000007866','08','0860','086024','086024011','04','2016','J06','3','3','9','10','4','7','1','1','1','1','2','1','0','2','0','0','0','0','2','0','1','0','1','2','0','1','3','0','3','4','1','2','2','2','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','J18','7','9','32','23','2','4','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','4','0','2','0','0','2','0','3','0','1','0','2','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','1','1','3','0','2','4','4','1','0','3','4','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','J45','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','T78','0','0','6','1','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','A09','0','0','2','1','0','0','1','0','0','1','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','L08','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','2','0','2','2','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','J10','1','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','L30','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','X66','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','K21','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','1','Y'
'DOH000000000007866','08','0860','086024','086024011','04','2016','L89','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
