'DOH000000000003605','16','1668','166819','166819002','03','2016','N39','0','0','0','0','1','1','1','1','3','4','8','8','2','6','4','3','2','2','6','5','6','6','3','5','1','3','1','1','4','2','1','2','3','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','N72','0','1','0','0','0','0','0','0','0','0','0','0','0','7','0','6','1','8','0','15','0','12','0','13','1','6','0','4','1','3','1','0','0','3','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','J40','1','0','18','7','5','7','2','1','0','1','0','1','0','1','0','2','0','1','0','2','0','7','0','5','0','0','0','4','4','7','1','4','3','3','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','J30','3','0','14','5','4','3','2','1','0','1','0','1','0','1','0','0','0','1','0','0','0','1','0','2','1','1','0','1','1','1','1','1','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','I10','1','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','1','1','0','3','1','5','8','3','6','3','8','9','4','4','4','5','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','O23','0','0','0','0','0','0','0','0','1','2','0','11','0','8','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','J22','1','2','2','2','2','1','2','2','0','0','0','1','0','0','0','0','0','1','1','0','0','2','0','0','1','2','0','0','0','1','0','0','0','1','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','J06','2','0','2','2','2','2','0','2','0','1','0','0','0','0','0','0','0','2','1','1','0','0','0','2','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','J18','0','3','11','5','4','7','4','2','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','1','2','3','1','2','1','1','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','2','0','1','0','1','1','1','2','8','0','2','2','6','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','E10','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','6','2','4','3','2','1','4','3','7','1','4','2','3','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','D64','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','2','0','1','0','1','0','0','0','0','1','2','1','0','0','2','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','L23','1','0','3','1','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','K21','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','2','0','1','1','0','1','1','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','J45','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','R10','0','0','0','1','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','2','1','2','1','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','0','2','2','1','2','1','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','2','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','I20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','1','0','0','0','1','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','Z35','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','L30','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','B37','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','K12','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','03','2016','T79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
