'DOH000000000003605','16','1668','166819','166819002','04','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','3','5','2','2','1','10','2','4','4','16','2','7','2','9','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','I10','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','2','2','3','4','0','3','2','6','3','6','7','9','4','4','3','5','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','N39','0','0','0','0','0','0','0','0','0','1','5','2','1','1','1','1','3','4','1','1','2','2','2','1','0','3','1','0','1','0','1','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','J22','1','1','0','3','1','3','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','3','0','0','0','3','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','O23','0','0','0','0','0','0','0','0','0','0','0','3','0','1','0','5','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','J06','1','1','0','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','D64','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','2','0','1','1','1','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','2','0','1','0','1','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','J40','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','J42','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','J18','0','0','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','L02','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003605','16','1668','166819','166819002','04','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','0','0','0','0','0','0','0','0','0','Y'
