'DOH000000000001781','01','0155','015546','015546032','03','2017','J06','17','15','81','62','20','25','7','4','2','0','3','2','0','2','0','2','0','1','3','2','1','1','1','1','1','5','0','3','0','6','0','1','0','5','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','I10','0','1','0','0','0','0','0','0','0','1','0','0','2','1','0','2','2','3','3','5','4','8','5','9','4','7','4','10','10','13','8','6','2','7','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','J22','0','0','4','6','4','9','3','1','1','1','0','1','0','2','0','2','0','2','4','1','0','2','2','2','0','0','4','3','1','6','1','1','0','5','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','A09','3','0','12','26','2','4','1','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','N39','0','0','0','1','0','2','1','2','0','2','0','3','0','1','1','5','1','4','0','3','1','2','1','1','1','3','2','3','1','2','1','1','0','1','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','D50','0','0','0','0','0','2','0','0','1','2','0','4','0','2','0','1','0','2','0','2','0','0','0','1','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','L30','0','0','5','2','2','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','1','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','R52','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','K29','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','1','1','0','0','0','1','0','1','1','0','0','0','1','1','2','1','1','0','1','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','H65','0','0','3','3','1','0','1','0','1','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','1','1','2','2','2','0','0','2','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','2','0','1','0','0','0','2','1','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','2','0','1','1','0','0','3','0','2','0','1','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','J45','0','0','3','2','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','L23','1','0','2','3','0','1','0','1','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','T79','0','0','0','1','1','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','T14','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','J10','0','0','0','1','2','0','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','T78','0','0','1','1','0','0','1','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','J30','0','0','2','1','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','K30','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','2','1','1','1','1','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','H10','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','I00','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','B34','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','A49','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','L08','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','L01','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','B26','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','B17','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','L21','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','B82','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','H52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001781','01','0155','015546','015546032','03','2017','H00','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
