'DOH000000000003366','03','0369','036917','036917007','01','2011','J06','16','12','23','28','11','12','2','1','1','4','2','0','0','1','2','3','2','8','1','6','1','2','1','4','1','2','1','3','1','4','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','A09','1','2','20','13','1','5','2','3','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','N39','0','0','2','0','4','2','2','0','1','2','0','4','1','1','0','1','1','2','3','1','0','1','3','1','0','1','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','J22','6','6','9','6','3','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','I10','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','1','0','0','3','2','1','0','3','1','2','5','5','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','J18','0','1','5','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','H10','0','0','2','0','2','0','3','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','T79','0','0','0','1','0','0','3','0','1','0','0','0','1','0','0','0','0','0','0','0','1','0','2','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','O23','0','0','0','0','0','0','0','0','0','3','0','1','0','0','0','2','0','2','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','A15','0','0','0','0','0','1','0','0','1','0','0','0','1','0','2','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','T78','0','0','4','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','R10','0','0','1','1','2','2','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','L23','0','0','3','0','1','1','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','J45','0','2','4','5','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','2','3','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','R52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','1','0','0','0','0','0','2','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','B35','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','1','0','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','J10','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','2','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','01','2011','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','1','0','0','Y'
