'DOH000000000002522','03','0369','036917','036917009','01','2016','J06','9','5','41','39','17','9','9','3','2','2','1','2','4','2','1','3','1','3','0','0','0','1','1','2','1','0','0','2','2','8','0','5','2','3','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','N39','0','0','3','3','2','5','1','2','0','1','0','3','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','A09','0','0','5','4','6','2','1','1','0','0','0','0','1','0','1','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','2','2','3','1','0','3','8','1','4','2','4','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','T79','0','0','1','3','2','2','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','1','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','D64','0','0','1','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','1','0','0','0','2','0','1','0','1','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','T78','1','1','2','1','1','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','T14','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','1','0','0','1','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','A15','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','L02','0','0','1','1','0','0','1','2','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','3','0','2','0','1','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','L08','0','0','1','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','J40','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','J18','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','B37','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','H60','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','B82','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','H52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000002522','03','0369','036917','036917009','01','2016','K29','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
