'DOH000000000003366','03','0369','036917','036917007','11','2015','J06','6','7','40','32','13','17','7','4','4','8','5','2','2','2','2','4','0','4','0','6','2','2','1','0','1','4','1','1','0','5','0','1','0','4','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','I10','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','2','0','0','5','0','8','3','5','5','3','5','5','12','16','5','5','7','11','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','N39','0','0','1','0','3','6','4','3','2','4','3','2','1','3','0','4','0','6','0','1','0','5','0','3','2','5','3','2','0','5','0','3','0','2','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','A09','0','0','13','5','2','4','0','3','4','0','2','1','1','0','1','0','1','0','0','0','0','1','1','0','0','1','0','2','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','J22','1','0','6','8','3','4','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','J45','3','2','3','7','3','4','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','L08','0','3','3','2','2','2','1','0','1','0','2','0','0','0','0','0','0','0','0','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','A15','0','0','0','0','1','0','0','0','0','1','2','0','1','0','0','0','0','0','0','0','2','1','0','1','1','0','1','1','2','4','1','1','1','3','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','1','0','2','1','1','1','0','5','0','2','0','3','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','D64','0','0','1','2','2','2','1','0','0','0','0','3','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','L02','1','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','T79','0','0','1','0','2','0','3','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','0','0','1','0','0','1','4','1','2','0','2','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','B09','0','0','2','0','2','1','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','L73','1','2','2','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','T78','0','0','1','1','1','0','1','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','M79','0','0','0','0','0','1','1','1','1','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003366','03','0369','036917','036917007','11','2015','','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
