'DOH000000000003366','03','0369','036917','036917007','06','2016','I10','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','3','1','1','0','9','5','12','6','9','3','19','8','13','23','43','11','12','12','31','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','J06','4','2','14','20','13','8','2','2','1','4','1','2','1','2','0','5','0','0','1','3','0','3','2','2','1','1','0','1','8','6','3','5','5','1','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','2','1','3','6','14','3','11','8','14','4','7','4','7','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','A09','3','1','22','18','0','1','0','3','0','0','0','1','1','3','0','1','1','0','0','0','0','0','0','0','1','0','0','1','2','3','0','2','2','1','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','N39','0','0','1','4','1','3','2','4','0','1','1','2','1','2','0','1','1','0','1','5','0','5','0','0','0','0','1','1','1','6','0','4','1','2','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','L08','1','1','5','7','5','4','0','0','0','0','0','2','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','R10','0','2','12','10','5','2','0','0','0','0','0','0','2','0','0','1','0','0','0','0','0','2','0','0','0','2','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','D64','0','0','2','1','2','2','0','3','0','3','0','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','1','4','0','1','1','3','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','M81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','2','0','0','0','0','2','7','0','2','2','5','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','J45','2','0','3','1','2','1','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','1','0','1','0','1','0','0','0','1','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','T14','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','A15','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','1','0','1','0','0','2','1','0','1','3','0','2','1','1','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','J22','0','0','4','4','0','1','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','H52','0','0','0','0','0','0','0','1','0','0','0','0','1','1','0','0','1','1','0','2','1','0','0','1','1','2','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','H61','0','0','2','0','0','1','2','1','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','R52','0','0','1','0','0','0','0','2','0','0','0','0','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','O23','0','0','0','0','0','0','0','0','0','1','0','3','0','1','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','T78','1','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','2','0','0','0','2','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','H81','0','0','0','0','0','0','0','0','0','1','0','0','1','1','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','K12','1','0','3','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','L23','0','0','2','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','W54','0','0','0','1','0','2','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','T79','0','0','1','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','M10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','2','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','1','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','2','0','0','1','2','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','H00','0','0','0','1','1','1','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','H65','0','0','1','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','B82','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','L73','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','J18','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','L01','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','L74','0','0','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','W55','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','J43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','H10','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','J01','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','A06','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','T95','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','W19','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','O99','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','L03','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2016','W53','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
