'DOH000000000003366','03','0369','036917','036917007','05','2015','J06','9','5','19','13','12','7','2','6','3','3','1','2','1','2','2','2','2','1','0','4','2','2','0','0','0','2','2','1','0','6','0','3','0','3','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','2','2','3','3','1','6','5','7','3','7','6','24','3','11','3','13','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','N39','0','1','3','1','0','2','2','2','1','3','1','4','0','2','3','2','1','3','1','1','3','3','0','0','0','6','0','5','2','4','0','1','2','3','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','A09','0','0','12','5','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','J22','2','1','5','5','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','K30','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','3','2','0','1','0','6','0','2','0','4','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','T79','0','0','0','0','3','1','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','1','0','1','1','0','2','0','0','0','2','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','1','1','1','0','1','0','0','0','3','0','0','0','3','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','L02','0','0','1','2','0','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','1','0','0','0','0','0','1','1','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','L08','0','0','1','0','3','0','0','3','0','1','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','O23','0','0','0','0','0','0','0','0','0','1','0','4','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','D64','0','0','1','0','0','2','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','J45','0','0','1','0','2','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','T78','0','0','1','1','0','0','0','1','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','H52','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','3','0','0','0','0','0','0','0','1','1','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','2','0','0','0','2','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','M06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','3','0','1','0','2','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','R10','0','0','2','2','1','2','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','H65','0','0','2','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','W54','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','R52','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','L73','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','S06','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','J01','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','H00','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','O13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','05','2015','L30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
