'DOH000000000003366','03','0369','036917','036917007','06','2012','J06','9','5','26','33','11','12','5','4','1','3','1','3','2','6','0','3','0','1','3','0','1','2','1','5','1','1','0','0','2','1','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','A09','1','3','13','9','3','1','2','2','0','0','0','0','0','1','0','1','0','1','2','1','0','1','0','0','1','0','0','1','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','4','1','1','2','3','2','1','1','6','3','6','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','J22','3','3','9','5','2','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','L02','0','0','1','4','6','5','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','L01','0','0','5','5','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','H10','1','0','1','1','1','2','0','1','1','0','0','0','1','1','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','T79','0','0','0','3','0','0','0','3','1','0','1','0','0','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','L23','1','1','4','3','0','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','N39','0','0','1','0','0','1','1','0','0','1','0','1','0','1','0','1','0','0','0','1','0','0','0','1','0','0','1','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','L73','0','0','3','4','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','T14','0','0','0','2','2','2','1','1','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','2','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','J45','0','0','4','1','1','2','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','R10','0','0','2','6','2','2','0','0','0','0','0','2','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','A15','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','2','0','2','0','1','0','0','0','0','1','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','D64','0','0','0','0','0','1','0','2','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','0','2','0','1','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','1','0','0','0','1','1','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','H65','2','0','2','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','T78','1','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','Y'
'DOH000000000003366','03','0369','036917','036917007','06','2012','H52','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','2','2','0','0','0','1','0','0','0','0','Y'
