'DOH000000000001736','01','0129','012934','012934003','05','2017','J06','14','16','99','85','54','49','17','26','8','7','6','14','9','9','6','11','5','12','2','7','3','3','1','1','3','6','2','7','6','11','3','5','3','6','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','I10','0','1','0','0','0','0','0','0','0','0','1','0','3','1','2','1','3','4','1','5','8','5','6','2','2','6','3','12','11','30','4','7','7','23','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','N39','0','0','1','1','7','5','0','6','2','5','0','6','2','10','1','3','3','7','2','1','0','0','0','1','0','0','0','4','2','2','2','0','0','2','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','J22','0','0','13','10','3','6','2','3','0','0','0','1','0','1','1','1','0','1','0','2','0','0','1','1','1','0','0','2','2','3','0','1','2','2','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','K29','0','0','3','4','1','0','0','2','0','1','1','0','0','3','2','3','2','1','0','4','1','0','0','1','1','0','1','4','0','6','0','0','0','6','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','W54','0','0','1','4','3','2','4','0','0','0','0','2','0','0','0','2','2','1','3','0','0','2','2','1','0','0','1','2','1','1','1','0','0','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','L01','1','1','7','5','4','8','1','0','1','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','E78','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','1','3','2','3','1','1','2','0','5','3','11','1','4','2','7','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','A09','0','1','10','4','4','2','0','0','0','0','0','1','1','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','L02','0','0','4','4','2','3','0','1','1','1','0','0','1','1','2','0','0','1','0','2','0','1','0','0','0','0','0','0','2','0','1','0','1','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','H81','0','0','0','0','0','0','0','0','0','1','0','0','0','1','2','4','0','2','1','1','0','1','0','0','1','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','3','2','1','1','2','0','5','0','7','0','4','0','3','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','T78','1','1','1','1','0','0','1','2','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','B34','0','0','4','3','5','0','0','3','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','15','0','4','0','11','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','T79','0','0','1','0','3','2','2','2','0','0','1','0','0','1','0','1','0','1','0','0','0','0','0','0','1','0','1','0','1','1','0','0','1','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','T14','0','0','1','0','0','1','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','1','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','A15','0','0','2','0','2','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','R25','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','1','1','1','0','1','1','0','0','1','1','0','0','1','1','1','0','0','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','K30','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','1','2','0','0','0','2','0','0','0','1','1','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','H65','0','0','1','2','1','4','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','L73','1','0','1','0','0','3','0','2','0','0','0','2','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','L03','0','0','0','0','0','0','1','0','1','0','1','0','0','1','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','2','0','2','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','L23','0','0','4','0','0','0','0','1','0','0','1','0','0','0','0','0','2','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','J18','0','0','2','4','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','5','0','0','1','0','0','0','4','3','2','2','0','1','2','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','R10','0','0','0','1','1','2','0','0','0','0','0','0','1','1','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','M13','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','0','2','0','1','0','2','0','1','0','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','J45','0','0','3','1','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','N20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','3','1','1','0','2','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','W55','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','1','0','1','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','M94','0','0','0','0','0','0','0','2','0','0','0','0','0','0','1','1','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','M10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','1','0','0','0','0','0','0','0','1','2','0','1','1','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','K21','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','1','1','1','0','0','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','G62','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','3','1','2','0','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','S00','0','0','1','1','0','3','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','H10','0','0','0','0','3','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','J40','1','0','2','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','H00','0','0','0','0','2','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','T20','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','M79','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','1','1','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','B01','0','0','2','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','L04','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','H60','0','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','J10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','J30','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','A06','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','B37','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','I50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','K59','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','H61','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','B02','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','H44','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','G44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','O99','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','D64','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','I84','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001736','01','0129','012934','012934003','05','2017','N94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
