'DOH000000000002199','01','0155','015547','015547013','04','2016','J06','28','18','126','109','43','61','16','16','8','10','4','8','3','9','7','12','4','14','1','13','2','10','5','8','3','9','0','8','14','41','2','18','12','23','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','I10','1','1','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0','0','2','5','8','10','8','12','6','11','12','19','23','60','13','11','10','49','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','N39','0','0','3','3','1','6','1','2','1','11','1','15','0','8','0','4','0','3','1','6','0','0','0','5','0','1','1','5','0','11','0','3','0','8','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','M13','1','0','0','0','0','1','0','0','0','0','0','0','1','0','1','0','1','1','2','1','0','1','0','3','1','3','0','10','7','28','0','5','7','23','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','A09','0','0','22','10','3','5','1','0','0','1','0','2','1','2','1','0','0','2','2','1','0','0','0','0','0','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','T78','1','1','6','7','2','3','0','1','0','2','0','2','0','3','0','0','0','0','0','2','0','2','0','0','1','1','0','4','1','3','0','1','1','2','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','M79','0','0','0','0','0','1','1','0','0','0','1','4','1','1','1','1','2','3','2','2','0','3','2','2','0','3','0','1','2','11','2','6','0','5','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','J45','3','0','9','6','14','6','4','1','0','0','0','1','0','2','0','0','0','2','0','1','0','0','0','0','0','0','1','2','8','7','1','1','7','6','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','T79','0','0','6','2','4','6','2','3','0','0','0','1','0','0','0','0','1','3','0','0','0','0','0','0','0','0','0','0','4','2','2','0','2','2','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','D64','0','0','0','1','0','2','0','0','1','0','1','4','0','3','0','2','0','5','0','1','0','0','0','2','0','3','0','2','2','4','0','1','2','3','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','L23','2','0','10','6','1','2','0','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','3','0','0','0','3','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','H10','1','1','3','4','3','2','1','1','0','1','0','0','0','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','T14','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','R10','0','0','3','6','5','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','B35','0','1','2','2','2','0','1','0','1','0','0','0','1','1','0','2','0','0','0','0','0','0','0','1','0','1','1','0','1','1','1','0','0','1','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','O23','0','0','0','0','0','0','0','0','0','1','0','5','0','4','0','3','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','J44','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','2','0','1','0','0','3','6','1','3','2','3','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','S06','0','0','1','0','0','1','1','1','0','1','0','1','0','0','1','0','0','0','0','0','0','1','3','0','0','0','0','0','0','3','0','1','0','2','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','H60','0','0','4','4','4','1','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','J30','0','1','1','0','1','0','1','0','0','0','0','0','0','1','0','1','0','1','0','0','1','0','0','1','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','1','0','0','0','3','2','0','1','2','1','0','0','2','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','B34','0','0','2','3','2','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','L73','1','1','1','4','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','K29','0','0','2','0','0','0','0','0','0','0','1','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','1','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','A06','0','1','0','1','2','1','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002199','01','0155','015547','015547013','04','2016','L04','0','0','1','0','1','1','0','1','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
