'DOH000000000000065','09','0973','097341','097341004','02','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','1','2','3','1','6','5','15','8','13','8','18','6','15','10','34','5','13','5','21','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','J06','1','0','2','0','5','3','4','2','3','5','4','3','1','2','0','1','0','3','3','5','1','5','1','4','1','2','2','2','2','5','0','4','2','1','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','J18','5','3','22','20','5','6','2','2','2','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','2','0','0','1','2','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','1','9','0','9','0','4','0','5','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','N39','0','0','1','0','0','0','0','1','0','0','0','2','2','0','0','0','1','5','0','2','0','0','0','1','0','2','0','2','0','1','0','1','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','K29','0','0','1','0','3','0','1','2','0','1','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','A09','1','0','5','2','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','1','2','3','1','2','1','1','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','2','0','0','2','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','G62','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','1','1','1','0','0','0','1','0','0','0','1','0','1','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','B34','0','0','1','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','L30','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','J45','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','H65','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','T79','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','L01','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','B01','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','L24','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','02','2015','J01','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
