'DOH000000000000065','09','0973','097341','097341004','04','2015','I10','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','3','3','9','3','12','6','20','10','24','7','17','13','26','7','12','6','14','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','J06','0','0','3','4','8','5','8','6','2','7','0','3','1','2','0','3','0','0','0','2','0','3','1','2','0','2','1','3','4','4','0','1','4','3','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','J18','6','4','14','16','2','8','2','2','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','A09','0','0','12','12','3','1','0','0','1','1','1','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','K29','0','0','1','0','3','1','0','0','0','4','1','1','3','1','0','1','0','0','0','0','1','0','0','0','1','0','0','1','0','2','0','1','0','1','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','N39','0','0','1','0','1','1','1','1','0','0','0','1','0','2','0','3','1','0','0','1','0','0','1','1','0','2','1','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','1','2','1','1','0','5','1','3','0','2','1','1','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','2','0','0','0','0','0','0','0','0','0','3','0','2','0','1','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','1','0','2','0','1','0','0','0','1','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','A15','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','1','0','1','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','T79','0','0','1','0','0','1','1','0','0','0','0','0','1','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','T78','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','1','0','1','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','D64','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','1','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','A90','0','0','0','0','1','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','A01','0','0','0','0','0','0','0','1','0','0','2','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','L01','0','0','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','H65','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','J45','0','0','0','3','0','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','B09','0','1','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','L08','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','W55','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','097341004','04','2015','J40','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
