'DOH000000000000065','09','0973','097341','000000000','09','2014','I10','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','3','1','4','4','7','6','9','5','21','10','19','5','10','13','32','4','11','9','21','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','J18','5','3','19','16','2','2','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','1','0','1','0','0','0','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','3','2','3','0','7','4','7','3','1','1','6','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','N39','0','0','0','0','0','0','1','0','0','2','0','0','1','1','0','1','0','0','0','0','1','0','1','1','0','2','0','0','0','3','0','1','0','2','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','M13','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','0','0','1','1','1','7','1','3','0','4','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','T14','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','K29','0','0','1','0','1','2','1','1','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','0','3','0','2','0','1','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','2','0','0','0','4','0','2','0','2','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','4','1','0','2','0','1','3','1','2','0','1','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','A09','1','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','T78','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','L01','0','0','0','1','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','L08','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','H65','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','D64','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000065','09','0973','097341','000000000','09','2014','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','2','1','2','0','0','Y'
