'DOH000000000001726','01','0129','012906','012906017','11','2015','J06','5','2','28','19','17','15','15','5','1','3','0','3','0','0','1','2','1','1','0','5','4','6','1','4','0','3','1','0','9','15','3','7','6','8','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','2','2','1','6','5','4','2','7','0','9','17','18','5','10','12','8','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','2','0','0','0','1','0','1','0','2','0','2','1','3','2','11','0','7','2','4','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','J18','0','0','14','8','4','0','2','2','2','0','0','0','0','0','0','2','0','0','0','2','2','0','0','2','2','0','0','2','6','6','4','1','2','5','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','1','1','0','0','1','3','1','2','1','4','0','1','1','3','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','N39','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','3','0','1','0','2','2','1','1','1','1','0','0','1','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','J45','0','0','1','0','5','1','4','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','1','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','L01','0','0','2','0','2','1','4','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','J22','0','0','5','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','I24','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','1','0','0','3','1','1','0','2','1','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','T78','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','4','0','2','0','2','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','1','0','1','0','1','0','2','0','1','0','1','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','R10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','2','1','0','0','2','1','1','0','1','1','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','L02','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','T14','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','K29','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','2','0','0','1','2','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','D64','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','4','0','0','0','4','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','A09','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','M79','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','1','0','0','0','0','0','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','A15','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','1','1','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','L08','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','1','1','0','1','1','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','H60','0','0','0','0','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','B35','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','1','0','0','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','J30','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000001726','01','0129','012906','012906017','11','2015','H61','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
