'DOH000000000005693','14','1411','141102','141102054','04','2016','J06','0','1','9','15','9','8','2','1','1','1','0','0','0','1','2','5','0','4','0','4','0','1','0','2','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','I10','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','4','0','9','0','3','0','2','0','6','6','5','2','1','4','4','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','J18','0','1','4','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','0','0','1','0','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','N39','0','0','1','0','0','1','0','0','0','0','0','5','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','B01','0','0','1','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','T78','0','1','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','H65','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','2','0','0','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','H61','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','J45','0','0','0','1','2','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','J40','0','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000005693','14','1411','141102','141102054','04','2016','O23','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
